1:1	...] Enoch for the cho[sen ...
1:2	... his] parable [and] said: [... ...] and from the words of the [Watchers] and holy ones, all of th[em ... ... not for th]is generation, but for a di[stant ge]neration I sp[eak ...
1:3	...] the Gr[eat] Holy One will go forth from [...
1:4	... the gr]eat, and he will appear in the [might] of [his] streng[th ...
1:5	... the ends of the] earth, and [al]l the end[s of the earth will tremble ...
1:6	...] high, and [...
1:9	... the myri]ads of [his] holy one[s ... ... fl]esh concerning the deed[s of ... ...] gr[e]at [and hars]h [things ...
2:1	... to the hea[ve]n[s for the work ... and not ... in their or]der
2:2	Co[ntemplate] the earth and o[bse]rve [its] works [... ... to an]other, that no[th]i[ng ... is ch]anged, and everything is vis[i]ble
2:3	[Therefore,] observe the signs of [... up]on it, and the signs of winter, that [all] the earth [... and] its clouds pour out [rai]n
3:1	Observe that all the tr[ees], all of them, appear withered [... their] lea[ves] remain [... until] two or three [years pass]
4:1	Observe therefore the signs of [... scorch]ing and burning, and you seek [shade and shel]ter from before it, [and to] tread upon the du[st and on its rocks] you are not able because of [...
5:1	... all the tr]ees ... on them green and covered [... for maj]estic splen[dor ... and co]nsider all th[ese] works of his [... he li]ves fo[rever] ... all these works of his
5:2	changes [... and] all of them perform his word
5:4	But you have changed your works [... and have spo]ken against him great and harsh words with the mouth of your impurity; [... hearts,] there will be no peace for you.
5:5	Then your days you will curse [... and the] years of and the yea]rs of your destruction will multiply with a cu[rse ... and merc]y [...
5:6	... you]r [names an] eternal [curse] to [all ... and] to all [...
5:9	... the day]s of ...
6:1	] and it came to pass whe[n ... ] beautiful and [... ] beautiful and [...
6:2	] and they sp[oke ...
6:4	] and they all said to him: [... ] let us swe[ar ] let us all return from th[is] counsel [... ] we will do ... [...
6:5	] all of them together and bou[nd one another by curse ...
6:6	] in the days of Jared up[on ... ] who swore and bou[nd themselves by curse ... on] it
6:7	And these [... Shemihazah ... second to him Ramte[el ... third] to him Kokhba[el] ... [fif]th to him Ra'ama[el ... ] Daniel the seven[th ... eigh]th to him Baraqel, the nin[th ... ] Asael the tenth ... the [eleven]th to him Matarel, the twel[fth ... ] Ananel the thirteenth ... the four]teenth to him Shamshi[el ... the fif]teenth to him Shahriel, the six]teenth to him [Tum]iel, the seven[teenth ... ] Turiel ... to him Yam[iel], the ninete[enth] to him [...
6:8	] These are the chiefs, and the chief[s] of the ten[s ...
7:1	these are the chiefs and the chie[f]s of the tens ... [...] wives from all whom they chose and [they began ... and to teach them sorcery and [...
7:2	And they became pregnant by them and bo[re ... ...were being born upon the earth [...
7:3	...the labor of all the sons of men, and not [...
7:4	...plotting to kill mankind and [...
7:5	...against every winged creature and the [beas]ts of the eart[h... [...and the] fish of [the sea,] and to devour [their] fles[h... ...drinking the blo[o]d.
7:6	...was being done in it. <vacat>
8:1	Asa[el] ta[ught]... [to] make swords of iron and breas[tplates of] bro[nze... for them, what is [dug up], ...they should fashion the go[ld to] make it ready, and concerning the silver, to make it into bracelets [... and it wa]s concerning <vacat> stibium and concerning eye-pain[t...
8:2	...and they beca]me reck[less...
8:3	Shemihazah taught sp[ell-binding... [so]rcery and magicianship and roo[ts... [the o]mens of the stars, Ziqe[el... Sham]shiel taught the omens of the su[n... [to revea]l mysteries to their wives.
8:4	And acc[ording to] the deed... from the earth [... arose be[fore]...
