Title:1	THE REMAINDER OF JEREMIAH THE PROPHET
1:1	It happened that when the children of Israel were taken captive by the king of the Chaldeans, God spoke to Jeremiah, saying, “Jeremiah, my chosen one, arise and go out from this city, you and Baruch; for I will destroy it because of the multitude of sins of those who dwell in it.”
1:2	For your prayers are like a firm pillar in its midst, and like an adamant wall surrounding it.
1:3	Now therefore, arise and go out before the Chaldean power encircles it.
1:4	And Jeremiah answered, saying, “I beseech you, Lord, permit me, your servant, to speak before you.”
1:5	And the Lord said to him, “Speak, my chosen one, Jeremiah.”
1:6	And Jeremiah spoke, saying, “Lord Almighty, are you delivering the chosen city into the hands of the Chaldeans, so that the king may boast with the multitude of his people and say, ‘I have prevailed over the holy city of God’?”
1:7	“No, my Lord! But if it is your will, let it be destroyed by your own hands.”
1:8	And the Lord said to Jeremiah, “Because you are my chosen one, arise and go out from this city, you and Baruch; for I will destroy it because of the multitude of sins of those who dwell in it.”
1:9	“For neither the king nor his power will be able to enter it, unless I first open its gates.”
1:10	“Therefore, arise and go to Baruch, and tell him these words.”
1:11	“And rising at the sixth hour of the night, come to the walls of the city, and I will show you that unless I first destroy the city, they cannot enter it.”
1:12	Having said these things, the Lord departed from Jeremiah.
2:1	And Jeremiah ran and reported these things to Baruch. And when they came to the temple of God, Jeremiah tore his clothes and put dust on his head and entered the sanctuary of God.
2:2	When Baruch saw him with dust sprinkled on his head and his clothes torn, he cried out with a loud voice, saying, “Father Jeremiah, what has happened to you, or what sin has the people committed?”
2:3	For whenever the people sinned, Jeremiah would sprinkle dust on his head and pray for the people until the sin was forgiven.
2:4	And Baruch asked him, saying, “Father, what is this?”
2:5	And Jeremiah said to him, “Refrain from tearing your clothes, but rather let us tear our hearts; and let us not draw water for the troughs, but let us weep and fill them with tears; for the Lord will not have mercy on this people.”
2:6	And Baruch said, “Father Jeremiah, what has happened?”
2:7	And Jeremiah said, “God is delivering the city into the hands of the king of the Chaldeans, to take the people captive into Babylon.”
2:8	When Baruch heard these things, he also tore his clothes and said, “Father Jeremiah, who revealed this to you?”
2:9	And Jeremiah said to him, “Wait with me a little while until the sixth hour of the night, so that you may know that this word is true.”
2:10	So they both remained in the altar area, weeping, and their clothes were torn.
3:1	When the hour of the night came, just as the Lord had said to Jeremiah, Jeremiah and Baruch came together to the walls of the city.
3:2	And behold, there was the sound of trumpets, and angels came out of heaven, holding torches in their hands, and they stood upon the walls of the city.
3:3	And when Jeremiah and Baruch saw them, they wept, saying, “Now we know that the word is true.”
3:4	And Jeremiah implored the angels, saying, “I beg you, do not destroy the city yet, until I speak a word to the Lord.”
3:5	And the Lord spoke to the angels, saying, “Do not destroy the city until I speak to my chosen one, Jeremiah.”
3:6	Then Jeremiah spoke, saying, “I beseech you, Lord, command me to speak before you.”
3:7	And the Lord said, “Speak, my chosen one, Jeremiah.”
3:8	And Jeremiah said, “Behold now, Lord, we know that you are delivering the city into the hands of its enemies, and they will take the people away to Babylon.”
3:9	“What do you want me to do with the holy vessels of the ministry?”
3:10	And the Lord said to him, “Take them and deliver them to the earth, saying, ‘Hear, O earth, the voice of your Creator, who formed you in the abundance of waters, who sealed you with seven seals for seven times, and after these things you will receive your beauty;’ ”
3:11	“ ‘preserve the vessels of the ministry until the gathering of the beloved one.’ ”
3:12	And Jeremiah spoke, saying, “I beseech you, Lord, show me what I am to do with Abimelech the Ethiopian, for he performed many good deeds for your servant Jeremiah.”
3:13	For he has drawn me up from the pit of mud, and I do not want him to see the destruction of this city and its desolation, but that you may have mercy on him and that he may not grieve.
3:14	And the Lord said to Jeremiah, “Send him to the vineyard of Agrippa, and in the shadow of the mountain I will cover him until I restore the people to the city.”
3:15	“But you, Jeremiah, depart with your people to Babylon, and remain with them, evangelizing them until I restore them to the city.”
3:16	“But leave Baruch here until I speak with him.”
3:17	After saying these things, the Lord ascended from Jeremiah to heaven.
3:18	And Jeremiah and Baruch entered the sanctuary, and taking up the vessels of the ministry, they delivered them to the earth, just as the Lord had spoken to them.
3:19	And immediately the earth swallowed them up.
3:20	And the two sat down and wept.
3:21	And when morning came, Jeremiah sent Abimelech, saying, “Take the basket, and go to the field of Agrippa by way of the mountain, and bring a few figs, and give them to the sick of the people; for upon you is the joy of the Lord, and upon your head is glory.”
3:22	And after saying these things, Jeremiah dismissed him; and Abimelech went just as he had told him.
4:1	And when morning came, behold, the army of the Chaldeans surrounded the city.
4:2	And the great angel blew the trumpet, saying, “Enter the city, O army of the Chaldeans; for behold, the gate has been opened for you.”
4:3	“Therefore let the king enter with his multitude, and let him take all the people captive.”
4:4	And Jeremiah took the keys of the temple, went out of the city, and threw them before the sun, saying, “I say to you, O sun, take the keys of the temple of God, and keep them until the day on which the Lord will question you concerning them.”
4:5	“For we were not found worthy to guard them, because we became guardians of falsehood.”
4:6	While Jeremiah was still weeping over the people, they brought him out with the people, dragging him to Babylon.
4:7	And Baruch placed dust on his head, and sat down, and wept this lament, saying, “Why has Jerusalem been laid waste? Because of the sins of the beloved people she was delivered into the hands of enemies, because of our sins and those of the people.”
