1:1	ቃለ፡ በረከት፡ ዘሄኖክ፡ በከመ፡ ባረከ፡ ኅሩያነ፡ ወጻድቃነ፡ እለ፡ ሀለዉ፡ ይኩኑ፡ በዕለተ፡ ምንዳቤ፡ ለአሰስሎ፡ ኵሉ፡ እኩያን፡ ወረሲዓን።
1:2	ወአውሥአ፡ ሄኖክ፡ ወይቤ፡ ብእሲ፡ ጻድቅ፡ ዘእምኀበ፡ እግዚአብሔር፡ እንዘ፡ አዕይንቲሁ፡ ክሡታት፡ ወይሬኢ፡ ራእየ፡ ቅዱስ፡ ዘበሰማያት፡ ዘአርአዩኒ፡ መላእክት፡ ወሰማዕኩ፡ ዘእምኀቤሆሙ፡ ኵሎ፡ ወአእመርኩ፡ አነ፡ ዘእሬኢ፡ ወአኮ፡ ለዝ፡ ትውልድ፡ አላ፡ ለዘይመጽኡ፡ ትውልድ፡ ርሑቃን።
1:3	በእንተ፡ ኅሩያን፡ እቤ፡ ወአውሣእኩ፡ በእንቲኣሆሙ፡ ምስለ፡ ዘይወፅእ፡ ቅዱስ፡ ወዐቢይ፡ እማኅደሩ።
1:4	ወአምላከ፡ ዓለም፡ ወእምህየ፡ ይከይድ፡ ዲበ፡ ሲና፡ ደብር፡ ወያስተርኢ፡ በትዕይንቱ፡ ወያስተርኢ፡ በጽንዐ፡ ኀይሉ፡ እምሰማይ።
1:5	ወይፈርሁ፡ ኵሉ፡ ወያድለቀልቁ፡ ትጉሃን፡ ወይነሥኦሙ፡ ፍርሀት፡ ወረዓድ፡ ዐቢይ፡ እስከ፡ አጽናፈ፡ ዓለም።
1:6	ወይደነግፁ፡ አድባር፡ ነዋኃን፡ ወይቴሐቱ፡ አውግር፡ ነዊኃን፡ ወይትመሰዉ፡ ከመ፡ መዓረ፡ ግራ፡ እምላህብ።
1:7	ወትሰጠም፡ ምድር፡ ወኵሉ፡ ዘውስተ፡ ምድር፡ ይትሀጐል፡ ወይከውን፡ ፍትሕ፡ ላዕለ፡ ኵሉ፡ ወላዕለ፡ ጻድቃን፡ ኵሎሙ።
1:8	ለጻድቃንሰ፡ ሰላመ፡ ይገብር፡ ሎሙ፡ ወየዐቅቦሙ፡ ለኅሩያን፡ ወይከውን፡ ሣህል፡ ላዕሌሆሙ፡ ወይከውኑ፡ ኵሎሙ፡ ዘአምላክ፡ ወይሤርሑ፡ ወይትባረኩ፡ ወይበርህ፡ ሎሙ፡ ብርሃነ፡ አምላክ።
1:9	ወናሁ፡ መጽአ፡ በትእልፊት፡ ቅዱሳን፡ ከመ፡ ይግበር፡ ፍትሐ፡ ላዕሌሆሙ፡ ወያህጕሎሙ፡ ለረሲዓን፡ ወይትዋቀሥ፡ ኵሎ፡ ዘሥጋ፡ በእንተ፡ ኵሉ፡ ዘገብሩ፡ ወረሰዩ፡ ላዕሌሁ፡ ኃጥኣን፡ ወረሲዓን።
2:1	ጠየቁ፡ ኵሎ፡ ዘውስተ፡ ሰማይ፡ ግብረ፡ እፎ፡ ኢይመይጡ፡ ፍናዊሆሙ፡ ብርሃናት፡ ዘውስተ፡ ሰማይ፡ ከመ፡ ኵሉ፡ ይሠርቅ፡ ወየዐርብ፡ ሥሩዕ፡ ኵሉ፡ በበ፡ ዘመኑ፡ ወኢይትዐደዉ፡ እምትእዛዞሙ።
2:2	ወርእይዋ፡ ለምድር፡ ወለብዉ፡ በእንተ፡ ምግባር፡ ዘይትገበር፡ ላዕሌሃ፡ እምቀዳሚ፡ እስከ፡ ተፍጻሜቱ፡ ከመ፡ ኢይትመየጡ፡ ኵሉ፡ ግብሩ፡ ለአምላክ፡ ዘያስተርኢ።
2:3	ወርእይዎ፡ ለሐጋይ፡ ወለክረምት፡ ከመ፡ ኵላ፡ ምድር፡ መልአት፡ ማየ፡ ወደመና፡ ወጠል፡ ወዝናም፡ የዐርፉ፡ ላዕሌሃ።
3:1	ጠየቁ፡ ወርኢኩ፡ ከመ፡ ኵሉ፡ ዕፀው፡ እፎ፡ ያስተርእዩ፡ ከመ፡ ይቡስ፡ ወኵሉ፡ አቍጽሊሆሙ፡ ንጉፋት፡ ዘእንበለ፡ ዐሠርቱ፡ ወአርባዕቱ፡ ዕፀው፡ ዘኢይትነገፉ፡ እለ፡ ይጸንሑ፡ እምብሉይ፡ እስከ፡ ይመጽእ፡ ሐዲስ፡ እምክልኤቱ፡ ወሠለስቱ፡ ክረምት።
4:1	ወዳግመ፡ ጠየቁ፡ መዋዕለ፡ ሐጋይ፡ ከመ፡ ኮነ፡ ፀሓይ፡ ላዕሌሃ፡ በቅድሜሃ፡ ወአንትሙሰ፡ ተኀሥሡ፡ ምጽላለ፡ ወጽላሎተ፡ በእንተ፡ ዋዕየ፡ ፀሓይ፡ ወምድርኒ፡ ትውዒ፡ እሙቀተ፡ ሐሩር፡ ወአንትሙሰ፡ ኢትክሉ፡ ከይዶታ፡ ለምድር፡ ወኢ፡ ኰኵሐ፡ በእንተ፡ ዋዕያ።
5:1	ጠየቁ፡ እፎ፡ ዕፀው፡ በሐመልማለ፡ አቍጽል፡ ይትከደኑ፡ ወይፈርዩ፡ ወለብዉ፡ በእንተ፡ ኵሉ፡ በከመ፡ ገብረ፡ ለክሙ፡ ለእሎንቱ፡ ኵሎሙ፡ ዘሕያው፡ ለዓለም።
5:2	ወምግባሩ፡ ቅድሜሁ፡ ለለ፡ ዓመት፡ ዘይከውን፡ ወኵሉ፡ ምግባሩ፡ ይትቀነዩ፡ ሎቱ፡ ወኢይትመየጡ፡ አላ፡ በከመ፡ ሠርዐ፡ አምላክ፡ ከመ፡ ዝ፡ ይትገበር፡ ኵሉ።
5:3	ወርእዩ፡ እፎ፡ አብሕርት፡ ወአፍላግ፡ ኅቡረ፡ ይፌጽሙ፡ ኵሎ፡ ግብሮሙ።
5:4	ወአንትሙሰ፡ ኢተዐገሥክሙ፡ ወኢገበርክሙ፡ ትእዛዘ፡ እግዚእ፡ አላ፡ ተዐደውክሙ፡ ወሐመይክሙ፡ ዐቢያተ፡ ወድሩካተ፡ ቃላተ፡ በአፍ፡ ርኵስት፡ ዘዚኣክሙ፡ ላዕለ፡ ዕበየ፡ ዚኣሁ፡ ይቡሳነ፡ ልብ፡ ኢትከውነክሙ፡ ሰላም።
5:5	ወበእንተ፡ ዝ፡ አንትሙ፡ መዋዕሊክሙ፡ ትረግሙ፡ ወዓመታተ፡ ሕይወትክሙ፡ ታሀጕሉ፡ ወይበዝኅ፡ መርገም፡ ዘለዓለም፡ ወኢይከውነክሙ፡ ሣህል።
5:6	ወበውእቱ፡ መዋዕል፡ ትሁቡ፡ ሰላመ፡ ዚኣክሙ፡ በርግመት፡ ዘለዓለም፡ ለኵሉ፡ ጻድቃን፡ ወኪያክሙ፡ ይረግሙ፡ ኃጥኣን፡ ዘልፈ፡ ወለክሙ፡ ኅቡረ፡ ምስለ፡ ኃጥኣን።
5:7	ወለኅሩያንሰ፡ ይከውን፡ ብርሃን፡ ወፍሥሓ፡ ወሰላም፡ ወእሙንቱ፡ ይወርስዋ፡ ለምድር፡ ወለክሙሰ፡ ረሲዓን፡ ይከውነክሙ፡ ርግመት።
5:8	ወእመሂ፡ ይትወሀቦሙ፡ ለኅሩያን፡ ጥበብ፡ ወኵሎሙ፡ እሎንቱ፡ የሐይዉ፡ ወኢይደግሙ፡ አብሶ፡ ኢ፡ በረሲዕ፡ ወኢ፡ በትዕቢት፡ አላ፡ ይገንዩ፡ ዘቦሙ፡ ጥበብ።
5:9	ወኢይደግሙ፡ አብሶ፡ ወኢይትኴነኑ፡ ኵሎ፡ መዋዕለ፡ ሕይወቶሙ፡ ወኢይመውቱ፡ በመዓት፡ ወኢ፡ በመቅሠፍት፡ አላ፡ ኍልቈ፡ መዋዕለ፡ ሕይወቶሙ፡ ይፌጽሙ፡ ወይልህቅ፡ ሕይወቶሙ፡ በሰላም፡ ወዓመታተ፡ ፍሥሓሆሙ፡ ይበዝኁ፡ በሐሤት፡ ወበሰላም፡ ዘለዓለም፡ ውስተ፡ ኵሉ፡ መዋዕለ፡ ሕይወቶሙ።
6:1	ወኮነ፡ እምዘ፡ በዝኁ፡ ውሉደ፡ ሰብእ፡ በእማንቱ፡ መዋዕል፡ ተወልዳ፡ ሎሙ፡ አዋልድ፡ ሠናያት፡ ወላሕያት።
6:2	ወርእዩ፡ ኪያሆን፡ መላእክት፡ ውሉደ፡ ሰማያት፡ ወፈተውዎን፡ ወይቤሉ፡ በበይናቲሆሙ፡ ንዑ፡ ንኅረይ፡ ለነ፡ አንስተ፡ እምውሉደ፡ ሰብእ፡ ወንለድ፡ ለነ፡ ውሉደ።
6:3	ወይቤሎሙ፡ ስማዝያ፡ ዘውእቱ፡ መልአኮሙ፡ እፈርህ፡ አንሰ፡ ዮጊ፡ ኢትፈቅዱ፡ ይትገበር፡ ዝንቱ፡ ግብር፡ ወእከውን፡ አነ፡ ባሕቲትየ፡ ፈዳይሃ፡ ለዛቲ፡ ኀጢአት፡ ዐባይ።
6:4	ወአውሥእዎ፡ ሎቱ፡ ኵሎሙ፡ ወይቤሉ፡ መሐላ፡ ንምሐል፡ ኵልነ፡ ወንትዋገዝ፡ በበይናቲነ፡ ከመ፡ ኢንሚጣ፡ ለዛቲ፡ ምክር፡ ወንግበራ፡ ለዛቲ፡ ምክር፡ ግብረ።
6:5	አሜሃ፡ መሐሉ፡ ኵሎሙ፡ ኅቡረ፡ ወአውገዙ፡ ኵሎሙ፡ በበይናቲሆሙ፡ ቦቱ።
6:6	ወኮኑ፡ ኵሎሙ፡ ክልኤተ፡ ምእተ፡ ወወረዱ፡ ውስተ፡ አርዲስ፡ ዘውእቱ፡ ድማኁ፡ ለደብረ፡ ኤርሞን፡ ወጸውዕዎ፡ ለደብረ፡ ኤርሞን፡ እስመ፡ መሐሉ፡ ቦቱ፡ ወአውገዙ፡ በበይናቲሆሙ።
6:7	ወዝንቱ፡ ውእቱ፡ አስማቲሆሙ፡ ለመላእክቲሆሙ፡ ስማዝያ፡ ዘውእቱ፡ መልአኮሙ፡ ኡራኪ፡ በራምኤል፡ አኪቢኤል፡ ጣሚኤል፡ ራሙኤል፡ ዳንኤል፡ ኤዜቂኤል፡ ሱሩቁያል፡ አሳኤል፡ አርምርስ፡ በጥርኤል፡ አናንኤል፡ ዘቄቤ፡ ስምሳፒኤል፡ ሰርትኤል፡ ሙርኤል፡ ዮምያኤል፡ አራዝያል።
