Title:1	ΤΑ ΠΑΡΑΛΕΙΠΟΜΕΝΑ ΙΕΡΕΜΙΟΥ ΤΟΥ ΠΡΟΦΗΤΟΥ
1:1	Ἐγένετο, ἡνίκα ᾐχμαλωτεύθησαν οἱ υἱοὶ Ἰσραὴλ ἀπὸ τοῦ βασιλέως τῶν Χαλδαίων, ἐλάλησεν ὁ θεὸς πρὸς Ἱερεμίαν λέγων· Ἱερεμία, ὁ ἐκλεκτός μου, ἀνάστα, καὶ ἔξελθε ἐκ τῆς πόλεως ταύτης, σὺ καὶ Βαρούχ· ἐπειδὴ ἀπολῶ αὐτὴν διὰ τὸ πλῆθος τῶν ἁμαρτιῶν τῶν κατοικούντων ἐν αὐτῇ.
1:2	αἱ γὰρ προσευχαὶ ὑμῶν ὡς στῦλος ἑδραῖός ἐστιν ἐν μέσῳ αὐτῆς, καὶ ὡς τεῖχος ἀδαμάντινον περικυκλοῦν αὐτήν.
1:3	νῦν οὖν ἀναστάντες ἐξέλθατε πρὸ τοῦ ἡ δύναμις τῶν Χαλδαίων κυκλώσει αὐτή.
1:4	καὶ ἀπεκρίθη Ἰερεμίας, λέγων· Παρακαλῶ σε, κύριε, ἐπίστρεψέν μοι τῷ δούλῳ σου λαλῆσαι ἐνώπιόν σου.
1:5	εἶπεν δὲ αὐτῷ ὁ κύριος· Λάλει, ὁ ἐκλεκτός μου Ἰερεμίας.
1:6	καὶ ἐλάλησεν Ἰερεμίας, λέγων· Κύριε παντοκράτωρ, παραδίδως τὴν πάλιν τὴν ἐκλεκτὴν εἰς χεῖρας τῶν Χαλδαίων, ἵνα καυχήσηται ὁ βασιλεὺς μετὰ τοῦ πλήθους τοῦ λαοῦ αὐτοῦ, καὶ εἴπῃ ὅτι, Ἴσχυσα ἐπὶ τὴν ἱερὰν πόλιν τοῦ θεοῦ;
1:7	μή, κύριέ μου· ἀλλ᾽ εἰ θέλημά σού ἐστιν, ἐκ τῶν χειρῶν σου ἀφανισθήτω.
1:8	καὶ εἶπε κύριος τῷ Ἰερεμίᾳ· Ἐπειδὴ σὺ ἐκλεκτός μου εἶ, ἀνάστα καὶ ἔξελθε ἐκ τῆς πόλεως ταύτης, σὺ καὶ Βαρούχ· ἐπειδὴ ἀπολῶ αὐτὴν διὰ τὸ πλῆθος τῶν ἁμαρτιῶν τῶν κατοικούντων ἐν αὐτῇ.
1:9	οὔτε γὰρ ὁ βασιλεύς, οὔτε ἡ δύναμις αὐτοῦ, δυνήσεται εἰσελθεῖν εἰς αὐτήν, εἰ μὴ ἐγὼ πρῶτος ἀνοίξω τὰς πύλας αὐτῆς.
1:10	ἀνάστηθι οὖν, καὶ ἄπελθε πρὸς Βαρούχ, καὶ ἀπάγγειλον αὐτῷ τὰ ῥήματα ταῦτα.
1:11	καὶ ἀναστάντες ἕκτην ὥραν τῆς νυκτός, ἔλθετε ἐπὶ τὰ τείχη τῆς πόλεως, καὶ δείξω ὑμῖν ὅτι ἐὰν μή τι ἐγὼ πρῶτος ἀφανίσω τὴν πόλιν, οὐ δύνανται εἰσελθεῖν εἰς αὐτήν.
1:12	ταῦτα εἰπὼν ὁ κύριος, ἀπῆλθεν ἀπὸ τοῦ Ἰερεμίου.
2:1	Δραμὼν δὲ Ἰερεμίας ἀνήγγειλε ταῦτα τῷ Βαρούχ, καὶ ἐλθόντες εἰς τὸν ναὸν τοῦ θεοῦ διέρρηξεν ὁ Ἰερεμίας τὰ ἱμάτια αὐτοῦ καὶ ἐπέθηκεν χοῦν ἐπὶ τὴν κεφαλὴν αὐτοῦ καὶ εἰσῆλθεν εἰς τὸ ἁγιαστήριον τοῦ θεοῦ.
2:2	ἰδὼν δὲ αὐτὸν Βαροὺχ χοῦν πεπασμένον ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ τὰ ἱμάτια αὐτοῦ διερρωγότα, ἔκραξε φωνῇ μεγάλας, λέγων· Πάτερ Ἰερεμία, τί ἐστί σοι, ἢ ποῖον ἁμάρτημα ἐποίησεν ὁ λαός;
2:3	ἐπειδὴ ὅταν ἡμάρτανεν ὁ λαός, χοῦν ἔπασσεν ἐπὶ τὴν κεφαλὴν αὐτοῦ ὁ Ἰερεμίας, καὶ ηὔχετο ὑπὲρ τοῦ λαοῦ, ἕως ἂν ἀφεθῇ ἡ ἁμαρτία.
2:4	ἠρώτησε δὲ αὐτὸν ὁ Βαρούχ, λέγων· Πάτερ, τί ἐστι τοῦτο;
2:5	εἶπεν δὲ αὐτῷ Ἰερεμίας· Ψύλαξαι τοῦ σχίσαι τὰ ἱμάτιά σου, ἀλλὰ μᾶλλον σχίσωμεν τὰς καρδίας ἡμῶν· καὶ μὴ ἀντλήσωμεν ὕδωρ ἐπὶ τὰς ποτίστρας, ἀλλὰ κλαύσωμεν καὶ γεμίσωμεν αὐτὰς δακρύων· ὅτι οὐ μὴ ἐλεήσῃ κύριος τὸν λαὸν τοῦτον.
2:6	καὶ εἶπε Βαρούχ· Πάτερ Ἰερεμία, τί γέγονε;
2:7	καὶ εἶπε Ἰερεμίας ὅτι· Ὁ θεὸς παραδίδωσι τὴν πόλιν εἰς χεῖρας τοο῀ βασιλέως τῶν Χαλδαίων, τοῦ αἰχμαλωτεῦσαι τὸν λαὸν εἰς Βαβυλῶνα.
2:8	ἀκούσας δὲ ταῦτα Βαρούχ, διέρρηξε καὶ αὐτὸς τὰ ἱμάτια αὐτοῦ, καὶ εἶπε· Πάτερ Ἰερεμία, τίς σοι ἐδήλωσε τοῦτο;
2:9	καὶ εἶπεν αὐτῷ Ἰερεμίας· Ἔκδεξαι μικρὸν μετ᾽ ἐμοῦ ἕως ὥρας ἕκτης τῆς νυκτός, ἵνα γνῷς ὅτι ἀληθές ἐστι τὸ ῥῆμα τοῦτο.
2:10	ἔμειναν οὖν ἀμφότεροι ἐν τῷ θυσιαστηρίῳ κλαίοντες, καὶ ἦσαν διερρωγότα τὰ ἱμάτια αὐτῶν.
3:1	Ὡς δὲ ἐγένετο ἡ ὥρα τῆς νυκτός, καθὼς εἶπεν ὁ κύριος τῷ Ἰερεμίᾳ, ἦλθεν ὁμοῦ ἐπὶ τὰ τείχη τῆς πόλεως Ἰερεμίας καὶ Βαρούχ.
3:2	καὶ ἰδοὺ ἐγένετο φωνὴ σαλπίγγων, καὶ ἐξῆλθον ἄγγελοι ἐκ τοῦ οὐρανοῦ, κατέχοντες λαμπάδας ἐν ταῖς χερσὶν αὐτῶν, καὶ ἔστησαν ἐπὶ τὰ τείχη τῆς πόλεως.
3:3	ἰδόντες δὲ αὐτοὺς Ἰερεμίας καὶ Βαρούχ, ἔκλαυσαν, λέγοντες· Νῦν ἐγνώκαμεν ὅτι ἀληθές ἐστι τὸ ῥῆμα.
3:4	παρακάλεσε δὲ Ἰερεμίας τοὺς ἀγγέλους, λέγων· Παρακαλῶ ὑμᾶς μὴ ἀπολέσθαι τὴν πόλιν ἄρτι, ἕως ἂν λαλήσω πρὸς κύριον ῥῆμα.
3:5	ἐλάλησεν δὲ κύριος τοῖς ἀγγέλοις, λέγων· Μὴ ἀπολέσητε τὴν πόλιν ἕως ἂν λαλήσω πρὸς τὸν ἐκλεκτόν μου Ἰερεμίαν.
3:6	τότε Ἰερεμίας ἐλάλησεν, λέγων· Δέομαι, κύριε, κέλευσόν με λαλῆσαι ἐνώπιόν σου.
3:7	καὶ εἶπε κύριος· Λάλει, ὁ ἐκλεκτός μου Ἰερεμίας.
3:8	καὶ εἶπεν Ἰερεμίας· Ἰδοὺ νῦν, κύριε, ἐγνώκαμεν ὅτι παραδίδως τὴν πόλιν εἰς χεῖρας τῶν ἐχθρῶν αὐτῆς, καὶ ἀπαροῦσι τὸν λαὸν εἰς Βαβυλῶνα.
3:9	Τί θέλεις ποιήσω τὰ ἅγια σκεύη τῆς λειτουργίας.
3:10	καὶ εἶπεν αὐτῷ ὁ κύριος· Ἆρον αὐτά, καὶ παράδος αὐτὰ τῇ γῇ λέγων· Ἄκουε, γῆ, τῆς φωνῆς τοῦ κτίσαντός σε, ὁ πλάσας σε ἐν τῇ περιουσίᾳ τῶν ὑδάτων, ὁ σφραγίσας σε ἐν ἑπτὰ σφραγῖσιν ἐν ἑπτὰ καιροῖς, καὶ μετὰ ταῦτα λήψῃ τὴν ὡραιότητά σου·
3:11	φύλαξον τὰ σκεύη τῆς λειτουργίας ἕως τῆς συνελεύσεως τοῦ ἡγαπημένου.
3:12	ἐλάλησεν δὲ Ἰερεμίας λέγων· Παρακαλῶ σε, κύριε, δεῖξόν μοι τὶ ποιήσω Ἀβιμέλεχ τῷ Αἰθίοπι, ὅτι πολλὰς εὐεργεσίας ἐποίησε τῷ δούλῳ σου Ἰερεμίᾳ.
3:13	Ὅτι αὐτὸς ἀνέσπασέ με ἐκ τοῦ λάκκου τοῦ βορβόρου· καὶ οὐ θέλω αὐτὸν ἵνα ἴδῃ τὸν ἀφανισμὸν τῆς πόλεως ταύτης καὶ τὴν ἐρήμωσιν, ἀλλ᾽ ἵνα ἐλεήσῃς αὐτὸν καὶ μὴ λυπηθῇ.
3:14	Καὶ εἶπε κύριος τῷ Ἰερεμίᾳ· Ἀπόστειλον αὐτὸν εἰς τὸν ἀμπελῶνα τοῦ Ἀγρίππα, καὶ ἐν τῇ σκιᾷ τοῦ ὄρους ἐγὼ σκεπάσω αὐτόν, ἕως οὗ ἐπιστρέψω τὸν λαὸν εἰς τὴν πόλιν.
3:15	σὺ δὲ Ἰερεμίας, ἀπολῦε μετὰ τοῦ λαοῦ σου εἰς Βαβυλῶνα, καὶ μεῖνον μετ᾽ αὐτῶν εὐαγγελιζόμενος αὐτοῖς ἕως οὗ ἐπιστρέψω αὐτοῖς εἰς τὴν πόλιν.
3:16	κατάλειψον δὲ τὸν Βαροὺχ ὧδε, ἕως οὗ λαλήσω αὐτῷ.
3:17	ταῦτα εἰπὼν ὁ κύριος ἀνέβη ἀπὸ Ἰερεμίου εἰς τὸν οὐρανόν.
3:18	Ἰερεμίας δὲ καὶ Βαροὺχ εἰσῆλθον εἰς τὸ ἀγιαστήριον, καὶ ἐπάραντες τὰ σκεύη τῆς λειτουργίας παρέδωκαν αὐτὰ τῇ γῇ, καθὼς ἐλάλησεν αὐτοῖς ὁ κύριος.
3:19	καὶ εὐθέως κατέπιεν αὐτὰ ἡ γῆ.
3:20	ἐκάθισαν δὲ οἱ δύο, καὶ ἔκλαυσαν.
3:21	πρωΐας δὲ γενομένης, ἀπέστειλεν Ἰερεμίας τὸν Ἀβιμέλεχ, λέγων· Ἆρον τὸν κόφινον, καὶ ἄπελθε εἰς τὸ χωρίον τοῦ Ἀγρίππα διὰ τῆς ὁδοῦ τοῦ ὄρους, καὶ ἐνεγκὼν ὀλίγα σῦκα, δίδου τοῖς νοσοῦσι τοῦ λαοῦ· ὅτι ἐπὶ σὲ ἡ εὐφρασία τοῦ κυρίου, καὶ ἐπὶ τὴν κεφαλήν σου ἡ δόξα.
3:22	καὶ ταῦτα εἰπὼν Ἰερεμίας ἀπέλυσεν αὐτόν· Ἀβιμέλεχ δὲ ἐπορεύθη καθὰ εἶπεν αὐτῷ.
4:1	Πρωΐας δὲ γενομένης, ἰδοὺ ἡ δύναμις τῶν Χαλδαίων ἐκύκλωσε τὴν πόλιν.
4:2	ἐσάλπισεν δὲ ὁ μέγας ἄγγελος, λέγων· Εἰσέλθατε εἰς τὴν πόλιν ἡ δύναμις τῶν Χαλδαίων· ἰδοὺ γὰρ ἠνεῴχθη ὑμῖν ἡ πύλη.
4:3	εἰσελθέτω οὖν ὁ βασιλεὺς μετὰ τοῦ πλήθους αὐτοῦ, καὶ αἰχμαλωτευσάτω πάντα τὸν λαόν.
