13:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
13:2	καὶ ἔλαβε γυναῖκα ᾗ ὄνομα Σουσάννα, θυγάτηρ Χελκίου, καλὴ σφόδρα καὶ φοβουμένη τὸν κύριον·
13:3	καὶ οἱ γονεῖς αὐτῆς δίκαιοι, καὶ ἐδίδαξαν τὴν θυγατέρα αὐτῶν κατὰ τὸν νόμον Μωυσῆ.
13:4	καὶ ἦν Ἰωακεὶμ πλούσιος σφόδρα, καὶ ἦν αὐτῷ παράδεισος γειτνιῶν τῷ οἴκῳ αὐτοῦ· καὶ πρὸς αὐτὸν προσήγοντο οἱ Ἰουδαῖοι διὰ τὸ εἶναι αὐτὸν ἐνδοξότερον πάντων.
13:5	Καὶ ἀπεδείχθησαν δύο πρεσβύτεροι ἐκ τοῦ λαοῦ κριταὶ ἐν τῷ ἐνιαυτῷ ἐκείνῳ, περὶ ὧν ἐλάλησεν ὁ δεσπότης ὅτι ἐξῆλθεν ἀνομία ἐκ Βαβυλῶνος ἐκ πρεσβυτέρων κριτῶν οἳ ἐδόκουν κυβερνᾷν τὸν λαόν.
13:6	καὶ ἤρχοντο κρίσεις ἐξ ἄλλων πόλεων πρὸς αὐτούς.
13:7	οὗτοι ἰδόντες γυναῖκα ἀστείαν τῷ εἴδει, γυναῖκα ἀδελφοῦ αὐτῶν ἐκ τῶν υἱῶν Ἰσραήλ, ὄνομα Σουσάνναν, θυγατέρα Χελκίου, γυναῖκα Ἰωακείμ, περιπατοῦσαν ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς τὸ δειλινὸν
13:8	καὶ ἐπιθυμήσαντες αὐτῆς,
13:9	διέστρεψαν τὸν νοῦν αὐτῶν καὶ ἐξέκλιναν τοὺς ὀφθαλμοὺς αὐτῶν τοῦ μὴ βλέπειν εἰς τὸν οὐρανὸν μηδὲ μνημονεύειν κριμάτων δικαίων.
13:10	καὶ ἀμφότεροι ἦσαν κατανενυγμένοι περὶ αὐτῆς, καὶ ἕτερος τῷ ἑτέρῳ οὐ προσεποιεῖτο τὸ κακὸν τὸ ἔχον αὐτοὺς περὶ αὐτῆς, οὐδὲ ἡ γυνὴ ἔγνω τὸ πρᾶγμα τοῦτο.
13:12	καὶ ὡς ἐγίνετο ὄρθρος, ἐρχόμενοι ἔκλεπτον ἀλλήλους σπεύδοντες, τίς φανήσεται αὐτῇ πρότερος καὶ λαλήσει πρὸς αὐτήν.
13:13	καὶ ἰδοὺ αὕτη κατὰ τὸ εἰωθὸς περιεπάτει, καὶ ὁ εἷς τῶν πρεσβυτέρων ἐληλύθει, καὶ ἰδοὺ ὁ ἕτερος παρεγένετο, καὶ εἷς τὸν ἕτερον ἀνέκρινε λέγων Τί σὺ οὕτως ὄρθρου ἐξῆλθες οὐ παραλαβών με;
13:14	καὶ ἐξωμολογήσαντο πρὸς ἀλλήλους ἑκάτερος τὴν ὀδύνην αὐτοῦ.
13:19	καὶ εἶπεν εἷς τῷ ἑτέρῳ Πορευθῶμεν πρὸς αὐτήν· καὶ συνθέμενοι προσήλθοσαν αὐτῇ καὶ ἐξεβιάζοντο αὐτήν.
13:22	καὶ εἶπεν αὐτοῖς ἡ Ἰουδαία Οἶδα ὅτι ἐὰν πράξω τοῦτο θάνατός μοί ἐστι, καὶ ἐὰν μὴ πράξω οὐκ ἐκφεύξομαι τὰς χεῖρας ὑμῶν·
13:23	κάλλιον δέ με μὴ πράξασαν ἐμπεσεῖν εἰς τὰς χεῖρας ὑμῶν ἢ ἁμαρτεῖν ἐνώπιον Κυρίου.
13:28	οἱ δὲ παράνομοι ἄνδρες ἀπέστρεψαν ἀπειλοῦντες ἐν ἑαυτοῖς καὶ ἐνεδρεύοντες ἵνα θανατώσουσιν αὐτήν· καὶ ἐλθόντες ἐπὶ τὴν συναγωγὴν τῆς πόλεως οὗ παρῴκουσαν, καὶ συνήδρευσαν οἱ ὄντες ἐκεῖ πάντες οἱ υἱοὶ Ἰσραήλ·
13:29	καὶ ἀναστάντες οἱ δύο πρεσβύτεροι καὶ κριταὶ εἶπαν Ἀποστείλατε ἐπὶ Σουσάνναν, θυγατέρα Χελκίου, ἥτις ἐστὶ γυνὴ Ἰωακείμ. οἱ δὲ εὐθέως ἐκάλεσαν αὐτήν.
13:30	ὡς δὲ παρεγενήθη ἡ γυνὴ σὺν τῷ πατρὶ ἑαυτῆς καὶ τῇ μητρί, καὶ οἱ παῖδες καὶ αἱ παιδίσκαι αὐτῆς ὄντες τὸν ἀριθμὸν πεντακόσιοι παρεγένοντο, καὶ τὰ παιδία Σουσάννας τέσσαρα.
13:31	ἦν δὲ ἡ γυνὴ τρυφερὰ σφόδρα.
13:32	καὶ προσέταξαν οἱ παράνομοι ἀποκαλύψαι αὐτήν, ἵνα ἐμπλησθῶσιν κάλλους ἐπιθυμίας αὐτῆς.
13:33	καὶ ἐκλαίοσαν οἱ παρ᾽ αὐτῆς πάντες καὶ ὅσοι αὐτὴν ᾔδεισαν πάντες.
13:34	ἀναστάντες δὲ οἱ πρεσβύτεροι καὶ κριταὶ ἐπέθηκαν τάς χεῖρας αὐτῶν ἐπὶ τῆς κεφαλῆς αὐτῆς·
13:35	ἡ δὲ καρδία αὐτῆς ἐπεποίθει ἐπὶ Κυρίῳ τῷ θεῷ αὐτῆς, καὶ ἀνακύψασα ἔκλαυσεν ἐν αὐτῇ λέγουσα [1] Κύριε ὁ θεὸς ὁ αἰώνιος, ὁ εἰδὼς τὰ πάντα πρὶν γενέσεως αὐτῶν, σὺ οἶδας ὅτι οὐκ ἐποίησα ἃ πονηρεύονται οἱ ἄνομοι οὗτοι ἐπ᾽ ἐμοί. καὶ εἰσήκουσε Κύριος τῆς δεήσεως αὐτῆς.
13:36	οἱ δὲ δύο πρεσβύτεροι εἶπαν Ἡμεῖς περιεπατοῦμεν ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς,
13:37	καὶ κυκλοῦντες τὸ στάδιον εἴδομεν ταύτην ἀναπαυομένην μετὰ ἀνδρός, καὶ στάντες ἐθεωροῦμεν αὐτοὺς ὁμιλοῦντας ἀλλήλοις,
