1:9	Ecce venit
99:6	Et rursus iuro vobis peccatores, quod in diem sanguinis perditionis
99:7	Qui servitis lapidibus et qui imagines facitis aureas et argenteas et ligneas et lapideas et fictiles et servitis phantasmatibus et daemoniis et spiritibus et infamiis et omnibus erroribus non secundum scientiam, nullam ab iis invenietis auxilium.
106:1	Factum est autem cum esset lamech annorum tricentorum quinquagenta natus est ei filiu{s}
106:2	cui oculi sunt sicut radi solis, capilli autem eius candi{di}ores in septies niue, corpori autem e ius nemo hominum potest intueri:
106:3	et surexit inter manus obstetricis suae et adorauit dominum uiuentem in secula {et} laudauit.
106:4	et timuit lamech
106:6	ne non ex eo natus esset nisi nontius dei et uenit ad patrem suum mathusalem et narrauit illi omnia.
106:7	dixit mathusalem Ego autem non possum scire nisi eamus ad patrem nostrum enoc.
106:8	quum autem uidit enoc filium suum mathusalem uenientem ad se [et] ait Quid est quod uenisti ad me, nate ?
106:9	dixit Quod
106:10	natus est filio suo nomine lamech cui oculi sunt sicut radi solis, capilli[s] eius candidiores septies niue, corpori autem eius nemo hominum potest intueri,
106:11	et surexit inter manus obstetricis suae eadem hora qua procidit de utero matris suae {et ad}orauit dominum uiuentem in secula et laudauit:
106:12	et timuit lamech.
106:13	et dixit enoc. Nontiatum est mihi, fili,
106:15	quia post quingentos annos mittet deus cataclismum aquae ut deleat omnem creaturam xl {diebus, sicut} ostendit oculis nostris,
106:16	et erunt illi iii filii, et erunt nomina filiorum e ius sem cham iafeth,
106:18	et ipse uocabitur noe qui interpretatur requies quia requiem prestabit in archam.
